Citation,King County Library System,Allen Public Library,Boulder Public Library,Spokane Public Library,Ketchikan Public Library,Sanibel Public Library,Austin Public Library,Providence Public Library,Augusta-Richmond County Public Library,Guthrie Public Library,Springfield-Greene Public Library,Mead Public Library,Twin Falls Public Library,Albany County Public Library,Albequerque Public Library,Concord Public Library,Fletcher Free Library,Hawaii State Library,Jackson/Hinds Library,Flagstaff/Coconico Library,Multnomah County Library,Chicago Public Library,Boston Public Library,Prescott Valley Public Library,Yolo County Library,Anchorage Public Library,Omaha Public Library,Washoe County Library System,Roanoke County Public Library,Free Library of Philadelphia,Morgan County Public Library,Kitchigami Regional Library ,Custer County Library,Abbie Greenleaf Library,Big Horn County Public Library,image,Title,Author
"Alderton, M. (2019). In case you're curious. Jersey City, Viva Editions.",1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.jpg,In case You’re Curious,Molly Alderton
"Andrews, A. (2020). A quick & easy guide to sex & disability. Limerence Press.",1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2.jpg,A Quick & Easy Guide to Sex & Disability,A. Andrews
"Belge, K. & Bieschke, M. (2011). Queer: the ultimate LGBT guide for teens. Zest Books.",1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,3.jpg,Queer: The Ultimate LGBT Guide for Teens,Kathy Belge and Marke Bieschke
"Boston Women's Health Collective. (2011). Our bodies, ourselves. Simon & Schuster.",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,4.jpg,Our Bodies Ourselves,Boston Women's Health Collective
"Bradshaw, C. M. (2020). Real talk about sex and consent: What every teen needs to know. New Harbinger.",1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,5.jpg,Real Talk about Sex and Consent: What Every Teen Needs to Know,Cheryl M. Bradshaw
"Corinna, H. (2016). S.E.X: The all-you-need-to-know sexuality guide to get you through your teens and twenties (Second edition). Da Capo Lifelong Books.",1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,6.jpg,S.E.X: The all-you-need-to-know sexuality guide to get you through your teens and twenties,Heather Corinna
"Harris, R. H., & Emberley, M. (2006). It's not the stork! A book about girls, boys, babies, bodies, families, and friends (First edition). Candlewick Press.",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,7.jpg,"It’s not the stork! A book about girls, boys, babies, bodies, families, and friends",Robie H. Harris
"Harris, R. H., & Emberley, M. (2014). It's perfectly normal: Changing bodies, growing up, sex, and sexual health ANV UPD. Candlewick Press.",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,8.jpg,"It’s perfectly normal: Changing bodies, growing up, sex, and sexual health",Robie H. Harris
"Hasler, N., & Capozzola, M. (2015). Sex: An uncensored introduction (Revised and expanded edition). Zest Books.",1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,9.jpg,Sex: An uncensored introduction,Nikol Hasler
"Langford, J. (2018). The pride guide: a guide to sexual and social health for LGBTQ youth. Rowman & Littlefield.",1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,10.jpg,The pride guide: a guide to sexual and social health for LGBTQ youth,Jo Langford
"Metzger, J. G., Lehman, R., & Cerizo, L. (2012). Will puberty last my whole life? Real answers to real questions from preteens about body changes, sex, and other growing-up stuff. Sasquatch Books.",1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,11.jpg,"Will puberty last my whole life? Real answers to real questions from preteens about body changes, sex, and other growing-up stuff.",Julie Giesy Metzger and Robert Gli?ski
"Moen, E. & Nolan, M. (2021). Let's talk about it: the teen's guide to sex, relationships, and being a human. Random House Graphic.",1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,12.jpg,"Let’s talk about it: the teen’s guide to sex, relationships, and being a human.",Erika Moen and Matthew Nolan
"Pardes, Bronwen. (2013). Doing it right: Making smart, safe, and satisfying choices about sex Updated. Simon Pulse.",1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,13.jpg,"Doing it Right: Making Smart, Safe, and Satisfying Choices about Sex",Bronwen Pardes
