Library,Rural,Conservative,Latitude,Longitude,Taught,Trump,TrumpWin
King County Library System,0,0,47.54093033,-122.0504811,1,-53,0
Allen Public Library,1,1,33.10547,-96.67106,0,4.4,1
Boulder Public Library,0,0,40.016869,-105.279617,0,-57,0
Spokane Public Library,0,1,47.658779,-117.426048,1,4.3,1
Ketchikan Public Library,1,1,55.34911068,-131.6510031,0,10,1
Sanibel Public Library,1,1,26.450689,-82.024193,0,19,1
Austin Public Library,0,0,30.2642643,-97.7475016,0,-45,0
Providence Public Library,0,0,41.824286,-71.41254,1,-63,0
Augusta-Richmond County Public Library,1,1,33.361487,-82.0749983,1,-37,0
Guthrie Public Library,1,1,35.8782725,-97.427565,0,47,1
Springfield-Greene Public Library,0,1,37.130602,-93.296652,0,20.2,1
Mead Public Library,0,0,43.752844,-87.712996,0,16,1
Twin Falls Public Library,0,1,42.557577,-114.465179,0,45.2,1
Albany County Public Library,0,1,41.310676,-105.587824,0,-2.8,0
Albequerque Public Library,0,0,35.085839,-106.653484,1,-24,0
Concord Public Library,0,0,43.206885,-71.540042,1,-9.8,0
Fletcher Free Library,0,0,44.477224,-73.210242,1,-55,0
Hawaii State Library,0,0,21.305889,-157.858324,1,-27,0
Jackson/Hinds Library,0,0,32.301445,-90.178862,1,-48,0
Flagstaff/Coconico Library,0,0,35.199554,-111.652804,0,-24,0
Multnomah County Library,0,0,45.51936372,-122.6827221,1,-61,0
Chicago Public Library,0,0,41.90484219,-87.63520145,0,-50,0
Boston Public Library,0,0,42.34955938,-71.07766179,0,-63,0
Prescott Valley Public Library,1,1,34.59540705,-112.3347137,0,29,1
Yolo County Library,1,,38.68403608,-121.7942416,1,-41,0
Anchorage Public Library,0,,61.1873501,-149.8789574,0,10,1
Omaha Public Library,0,1,41.25851138,-95.9336932,0,-11,0
Washoe County Library System,0,,39.52276116,-119.8102393,0,-4.5,0
Roanoke County Public Library,1,1,37.27075959,-79.94134183,0,1.3,1
Free Library of Philadelphia,0,0,40.04169598,-75.03119362,0,-64,0
